Date,Close/Last,Volume,Open,High,Low
09/17/2021,$39.75,32178090,$39.9,$40.225,$39.29
09/16/2021,$39.52,25374020,$38.3,$39.67,$38.09
09/15/2021,$38.48,30368820,$39,$39,$38.08
09/14/2021,$39.01,36717260,$39.9,$40.1,$38.55
09/13/2021,$40.07,28868760,$40.26,$41.19,$39.26
09/10/2021,$39.89,14230630,$40.62,$40.83,$39.865
09/09/2021,$40.35,14260280,$40.1,$40.95,$39.84
09/08/2021,$40.07,16219950,$40.85,$41.34,$39.83
09/07/2021,$40.95,15708570,$40.49,$41.08,$40.31
09/03/2021,$40.32,15466520,$41.22,$41.575,$40.23
09/02/2021,$41.4,20654220,$40.75,$41.86,$40.5365
09/01/2021,$40.62,27788580,$39.98,$41.665,$39.87
08/31/2021,$39.14,26396000,$39.81,$40.275,$39.125
08/30/2021,$39.59,29516300,$40.58,$40.74,$39.11
08/27/2021,$40.69,13612500,$40.53,$41.31,$40.5
08/26/2021,$40.62,17473360,$41.49,$41.94,$40.54
08/25/2021,$41.55,26498360,$40.44,$42.11,$40.04
08/24/2021,$40.17,44872760,$41.1,$41.21,$39.97
08/23/2021,$41,33901260,$39,$41.08,$38.84
08/20/2021,$39.95,18080690,$39.69,$40.0799,$39.2399
08/19/2021,$39.86,22471420,$40.28,$40.6,$39.51
08/18/2021,$40.88,13682290,$40.97,$41.53,$40.8
08/17/2021,$41,20364440,$41,$41.48,$40.58
08/16/2021,$41.5,19250130,$41.76,$41.79,$40.86
08/13/2021,$42.22,8598787,$42.8,$43.03,$42.2
08/12/2021,$42.73,16556290,$42.86,$42.965,$42.18
08/11/2021,$43.08,21766050,$43.41,$43.5,$42
08/10/2021,$43.5,26675230,$43.7,$44.24,$43.25
08/09/2021,$43.25,19238410,$44.19,$44.27,$43.21
08/06/2021,$44.28,25514940,$43.74,$44.935,$43.65
08/05/2021,$43.07,60871530,$40.5,$44.65,$40.15
08/04/2021,$41.81,42969150,$42.7,$42.82,$41.37
08/03/2021,$42.79,37622180,$43.56,$43.68,$41.62
08/02/2021,$43.49,26579890,$44.1,$44.29,$43.445
07/30/2021,$43.46,22194940,$44.38,$44.73,$43.34
07/29/2021,$44.69,51033700,$44.12,$45.21,$44
07/28/2021,$46.14,19510260,$45.88,$46.9632,$45.81
07/27/2021,$45.82,16874230,$46.54,$46.6599,$44.765
07/26/2021,$46.81,12498000,$47.04,$47.6,$46.37
07/23/2021,$47.46,9540666,$47.61,$47.69,$46.78
07/22/2021,$47.57,11560840,$47.7,$48.17,$47.24
07/21/2021,$47.52,14953650,$46.53,$47.94,$46.35
07/20/2021,$46.32,13851370,$45.46,$46.66,$45.07
07/19/2021,$45.56,20890640,$45,$45.7466,$44.435
07/16/2021,$46.19,18224520,$46.4,$47.09,$46.01
07/15/2021,$46.42,17225280,$46.86,$47.46,$46.15
07/14/2021,$47.15,15837010,$48.28,$48.59,$47.11
07/13/2021,$48.08,11283580,$48.49,$48.59,$47.75
07/12/2021,$48.41,14142310,$48.87,$49.29,$48.09
07/09/2021,$49.07,15400980,$47.84,$49.25,$47.71
07/08/2021,$47.55,24930160,$47.16,$48.21,$46.57
07/07/2021,$48.68,24559510,$50.8,$51.03,$48.54
07/06/2021,$50.8,21357830,$50.6,$52.03,$50.4
07/02/2021,$51.71,13698240,$50.57,$51.825,$50.39
07/01/2021,$50.59,17732590,$50.88,$51.6,$50.02
06/30/2021,$50.12,18069430,$51.02,$51.13,$49.71
06/29/2021,$50.76,14104180,$51,$51.3,$50.24
06/28/2021,$51.11,22518030,$51.75,$52.36,$50.365
06/25/2021,$51.73,25727830,$51.18,$51.83,$50.53
06/24/2021,$50.82,12403300,$51.3,$51.55,$50.22
06/23/2021,$50.51,19843280,$49.06,$50.77,$49.01
06/22/2021,$49.05,19472460,$48.3,$49.34,$47.75
06/21/2021,$48.12,30752160,$49.72,$49.86,$47.9
06/18/2021,$49.7,20633520,$49.31,$50.39,$48.775
06/17/2021,$49.7,18887260,$48.96,$49.835,$48.31
06/16/2021,$48.89,18975750,$49.35,$49.66,$48.29
06/15/2021,$49.3,20358630,$49.55,$49.955,$49.09
06/14/2021,$50.77,15399160,$50.06,$51.49,$49.56
06/11/2021,$50.01,12127110,$50.03,$50.36,$49.535
06/10/2021,$49.55,14926470,$49.69,$49.895,$48.425
06/09/2021,$49.14,12615210,$50,$50.17,$49.11
06/08/2021,$49.88,19672720,$50.7,$51.4,$48.66
06/07/2021,$50.76,16466230,$50.49,$51.22,$49.75
06/04/2021,$50.18,10409830,$49.56,$50.22,$49.07
06/03/2021,$48.7,14712860,$50.43,$50.5,$48.53
06/02/2021,$50.79,13484210,$51.19,$51.41,$50.55
06/01/2021,$50.98,16583750,$51.62,$51.66,$49.84
05/28/2021,$50.83,14226760,$50.675,$51.74,$50.47
05/27/2021,$50.71,51346020,$51.44,$51.69,$48.72
05/26/2021,$51.12,16393710,$50.32,$51.36,$49.76
05/25/2021,$50.46,16930930,$50.74,$51.59,$50.44
05/24/2021,$50.03,16768420,$49.33,$50.4,$48.85
05/21/2021,$48.82,20013220,$49.57,$49.95,$48.76
05/20/2021,$49.33,18822300,$49.57,$49.95,$48.76
05/19/2021,$49.47,16517480,$47.53,$49.83,$47.37
05/18/2021,$49.17,28244450,$49.67,$50.29,$48.525
05/17/2021,$47.51,17466540,$47.24,$47.94,$46.51
05/14/2021,$47.42,25323280,$45.03,$47.71,$44.85
05/13/2021,$44.48,36205110,$44.99,$46.1,$43.5601
05/12/2021,$43.81,32117360,$45.9,$46.105,$43.17
05/11/2021,$46.21,29106920,$44.5,$46.79,$44.182
05/10/2021,$45.79,28309810,$47.71,$47.85,$45.6
05/07/2021,$47.03,27933930,$47.22,$48.6,$46.5346
05/06/2021,$46.65,79242390,$48.39,$49.81,$45.72
05/05/2021,$51.18,28232540,$53.87,$54.07,$50.63
05/04/2021,$52.99,19336650,$54.52,$54.72,$52.01
05/03/2021,$54.85,13903300,$55.12,$56.13,$54.84
04/30/2021,$54.77,16736580,$54.3,$55.65,$54.11
04/29/2021,$54.93,43407950,$59,$59.22,$53.11
04/28/2021,$58.44,9269739,$56.88,$58.48,$56.66
04/27/2021,$57.16,12926760,$58.32,$58.4,$57.05
04/26/2021,$57.61,8361602,$58.05,$58.36,$57.33
04/23/2021,$57.93,8763212,$56.56,$57.95,$56.39
04/22/2021,$56.28,16936170,$55.85,$57.2189,$55.19
04/21/2021,$55.77,11523910,$55,$56.2,$54.61
04/20/2021,$55.48,19081120,$58,$58.12,$55.244
04/19/2021,$57.85,16956890,$60,$60.2201,$57.52
04/16/2021,$60.35,11856110,$60.74,$60.85,$59.54
04/15/2021,$60.74,17500180,$59.88,$61.09,$59.5501
04/14/2021,$59.23,18959760,$60.11,$61.5,$59.18
04/13/2021,$60.64,21006090,$59.65,$61.01,$58.53
04/12/2021,$59.44,36041320,$59.05,$60.77,$58.75
04/09/2021,$57.68,10228470,$57.32,$57.88,$56.4
04/08/2021,$57.83,9498507,$56.65,$57.94,$56.54
04/07/2021,$56.89,12921860,$58.02,$58.13,$55.95
04/06/2021,$58.05,13579180,$57.34,$58.99,$57.16
04/05/2021,$57.4,13490250,$58.1,$58.42,$56.64
04/01/2021,$57.6,18703400,$55.61,$57.63,$54.81
03/31/2021,$54.51,14760460,$53.96,$55.18,$53.58
03/30/2021,$53.46,9497186,$52.99,$54.12,$52.64
03/29/2021,$53.35,9724766,$54.8,$54.8,$52.85
03/26/2021,$54.71,13528230,$54.41,$55.25,$53.52
03/25/2021,$53.89,13210740,$52,$54.28,$51.8
03/24/2021,$52.57,13700840,$54.46,$54.96,$52.54
03/23/2021,$53.49,14513460,$55.63,$55.63,$53.11
03/22/2021,$55.69,14149410,$57.25,$57.61,$55.47
03/19/2021,$57.08,17396300,$55.48,$57.18,$54.34
03/18/2021,$55.69,15742990,$56.63,$57.48,$55.21
03/17/2021,$56.36,25509930,$57.07,$57.57,$55.54
03/16/2021,$58.85,12885730,$59.99,$61.02,$58.38
03/15/2021,$60.19,14993630,$60.35,$60.53,$59.12
03/12/2021,$60.35,14839310,$58.97,$60.59,$57.62
03/11/2021,$58.95,17293750,$58.8,$59.48,$58.22
03/10/2021,$57.68,27997020,$57.21,$58.9,$56.27
03/09/2021,$55.25,17192940,$56,$56.15,$54.72
03/08/2021,$53.2,19912070,$55.5,$56.45,$52.89
03/05/2021,$55.54,31576180,$54.28,$55.83,$50.81
03/04/2021,$53.07,27409570,$55.75,$57.16,$51.61
03/03/2021,$56.11,28485380,$55.93,$57.8,$54.65
03/02/2021,$54.65,15199540,$55.54,$55.62,$54.1894
03/01/2021,$54.4,18481140,$53.67,$54.76,$53.3
02/26/2021,$51.75,16349840,$52.07,$52.75,$50.61
02/25/2021,$51.45,27049080,$54.58,$54.6,$50.86
02/24/2021,$53.91,24626970,$54.95,$55.15,$53.66
02/23/2021,$56,23947540,$53.5,$56.37,$51.89
02/22/2021,$55.31,25565420,$57.76,$58.1,$54.8157
02/19/2021,$58.39,28097000,$58.36,$60.4572,$58.113
02/18/2021,$59,15135650,$60,$60.29,$58.23
02/17/2021,$60.81,12669990,$60.33,$60.95,$58.95
02/16/2021,$60.52,15413080,$61.02,$61.31,$59.84
02/12/2021,$60.63,14607830,$60.12,$60.93,$59.315
02/11/2021,$60.71,41363410,$63.25,$64.05,$60.395
02/10/2021,$63.18,36972930,$62,$63.5,$60.8
02/09/2021,$59.61,23510740,$58.91,$61.06,$58.62
02/08/2021,$59.29,18410640,$59.7,$60.11,$58.69
02/05/2021,$58.58,15729170,$58.16,$58.7075,$57.37
02/04/2021,$57.85,13847260,$56.45,$57.85,$56.11
02/03/2021,$57.12,13519010,$57.87,$58.13,$56.74
02/02/2021,$56.46,30286800,$55.11,$58.03,$54.89
02/01/2021,$52.76,15570900,$52.12,$52.9,$51.35
01/29/2021,$50.93,18743230,$50.63,$51.4899,$49.635
01/28/2021,$51.58,28114700,$50.12,$52.52,$49.88
01/27/2021,$48.11,33283420,$49.97,$50.86,$47.15
01/26/2021,$51.92,25677020,$54.62,$55.52,$51.53
01/25/2021,$54.29,40890090,$54.5,$54.52,$49.65
01/22/2021,$54.31,19570510,$55.25,$55.47,$54.01
01/21/2021,$55.79,13432030,$56.57,$57,$55.3136
01/20/2021,$56.38,16904340,$57,$57.98,$55.47
01/19/2021,$56.3,16953660,$56.39,$56.8424,$55
01/15/2021,$55.52,23708800,$57.49,$57.9,$55
01/14/2021,$56.91,26561000,$60,$60.03,$56.7
01/13/2021,$59.4,24178500,$58.54,$59.88,$57.53
01/12/2021,$58.54,52151410,$55.5,$59.39,$55
01/11/2021,$54.59,23213840,$53.11,$55,$52.99
01/08/2021,$53.28,37999440,$54.395,$54.79,$52.58
01/07/2021,$56.13,23737540,$53.37,$56.25,$53.2
01/06/2021,$52.48,17738120,$53.31,$54.07,$52
01/05/2021,$54.01,21403170,$51,$54.19,$50.76
01/04/2021,$51.14,17291800,$52.22,$52.32,$49.635
12/31/2020,$51,13282790,$53.28,$53.28,$51
12/30/2020,$53.15,9518600,$52.72,$53.85,$52.22
12/29/2020,$52.27,10140560,$52.33,$52.99,$51.47
12/28/2020,$51.97,12058980,$53.02,$53.13,$51.56
12/24/2020,$52.88,6316761,$53.6,$53.625,$52.29
12/23/2020,$53.71,12671110,$53.8,$54.09,$52.99
12/22/2020,$53.78,23885280,$52.11,$54.36,$51.92
12/21/2020,$51.8,23562860,$49,$52.35,$48.79
12/18/2020,$50.62,24355170,$50.81,$50.95,$49.52
12/17/2020,$50.63,19688320,$50.59,$51.3,$50.17
12/16/2020,$50.49,19577760,$51.18,$51.68,$50.29
12/15/2020,$51,17504740,$52.12,$52.825,$50.87
12/14/2020,$51.46,19048540,$53.27,$53.44,$51.24
12/11/2020,$52.63,16817870,$54.47,$55.025,$52.33
12/10/2020,$54.35,20207660,$52.33,$54.62,$51.3
12/09/2020,$53.79,46777880,$53.98,$56.02,$53.06
12/08/2020,$53.01,26167350,$52.4,$54.22,$52.35
12/07/2020,$53.8,13764430,$54.59,$54.87,$53.65
12/04/2020,$54.86,22207890,$52.71,$54.86,$52.71
12/03/2020,$52.52,13122390,$53.3,$53.49,$52.12
12/02/2020,$53.09,30381460,$49.26,$53.45,$48.53
12/01/2020,$49.63,20619100,$50,$51.41,$49.07
11/30/2020,$49.66,17221540,$50.22,$51.005,$48.53
11/27/2020,$50.72,8339157,$50.93,$51.19,$50.2
11/25/2020,$50.8,11641560,$51.27,$51.45,$49.92
11/24/2020,$51.26,16216230,$50.62,$52.15,$50.4838
11/23/2020,$50.04,17147060,$48.66,$50.88,$48.51
11/20/2020,$48.43,17330370,$49.98,$50.75,$48.27
11/19/2020,$49.26,13480260,$49.1,$49.91,$48.65
11/18/2020,$49.11,17783510,$48.77,$49.95,$48.33
11/17/2020,$48.89,16638330,$48.72,$49.62,$48.5
11/16/2020,$49.21,29301710,$48.74,$50.09,$48.48
11/13/2020,$47.61,15569910,$47.11,$47.79,$45.93
11/12/2020,$46.4,16255470,$45.39,$47.47,$45.05
11/11/2020,$46.23,19213690,$46.72,$47.52,$45.91
11/10/2020,$47,33079780,$46.74,$49.36,$46.045
11/09/2020,$48.18,61632340,$48.01,$49.62,$47.3
11/06/2020,$44.87,57670670,$42.09,$45.38,$41.62
11/05/2020,$41.96,34177620,$40.33,$42.05,$40.01
11/04/2020,$40.99,101818200,$40.66,$42.15,$39
11/03/2020,$35.77,16208780,$35.27,$36.15,$35.15
11/02/2020,$34.81,18350450,$34.15,$35.05,$34.06
10/30/2020,$33.41,13508510,$33.91,$34.3903,$33.155
10/29/2020,$34.06,13735350,$33.71,$34.935,$33.33
10/28/2020,$33.65,15787860,$33.62,$33.66,$32.9
10/27/2020,$34.16,13692120,$35.51,$35.7,$34.02
10/26/2020,$35.49,12511720,$36.5,$36.74,$35.12
10/23/2020,$36.75,15960600,$36.5,$36.99,$35.9238
10/22/2020,$36.7,14243610,$35.42,$36.89,$34.9146
10/21/2020,$35.2,19058730,$36.25,$36.25,$34.8751
10/20/2020,$36.31,29820700,$34.53,$36.76,$34.53
10/19/2020,$34.22,19278580,$34.16,$34.59,$34
10/16/2020,$33.72,14904330,$34.78,$34.8,$33.61
10/15/2020,$34.26,15449850,$34.68,$34.81,$34.02
10/14/2020,$35.11,15402930,$35.69,$36.09,$35.075
10/13/2020,$35.56,15463090,$36.22,$36.23,$35.02
10/12/2020,$36.26,16569420,$37.56,$37.56,$36.175
10/09/2020,$37.27,13172030,$37.91,$38.35,$37.19
10/08/2020,$37.34,12212370,$37,$37.83,$36.96
10/07/2020,$36.78,13782140,$36.59,$37.11,$36.365
10/06/2020,$36.26,13074680,$37.17,$37.37,$36.04
10/05/2020,$37.14,13093070,$37.7,$38,$36.88
10/02/2020,$37.72,20123450,$36,$37.99,$35.94
10/01/2020,$37.14,19187500,$36.86,$37.8282,$36.58
09/30/2020,$36.48,21386310,$35.28,$36.5,$35.28
09/29/2020,$35.43,16503440,$35.56,$35.65,$34.595
09/28/2020,$35.56,22878430,$35.8,$36.625,$35.26
09/25/2020,$34.46,10736300,$33.2,$34.5,$33.2
09/24/2020,$33.35,16404060,$33.66,$34,$32.89
09/23/2020,$33.55,15796890,$34.45,$34.805,$33.4
09/22/2020,$34.4,28242760,$36.53,$36.55,$34.1
09/21/2020,$36.49,19100810,$35.86,$36.58,$35.12
09/18/2020,$37.12,68428610,$37.15,$37.565,$36.39
09/17/2020,$37.06,23534830,$36.68,$37.445,$36.14
09/16/2020,$37.66,21786590,$37.39,$38.52,$37.39
09/15/2020,$37.47,23532580,$37.95,$38.48,$37.27
09/14/2020,$37.95,28016040,$37.1,$38,$37.08
09/11/2020,$36.98,27130920,$36.3,$37.145,$36.254
09/10/2020,$35.98,35468320,$35.2,$36.78,$35.19
09/09/2020,$35.01,22803540,$34.11,$35.5,$34.11
09/08/2020,$34.32,33683490,$32.36,$35.1,$32.16
09/04/2020,$33.24,17480620,$33.33,$33.65,$31.55
09/03/2020,$33.41,17288820,$34.08,$34.74,$32.95
09/02/2020,$34.37,16552690,$34.21,$34.505,$33.29
09/01/2020,$34.3,16026170,$33.45,$34.51,$33.145
08/31/2020,$33.63,14980620,$33.62,$33.92,$33.1401
08/28/2020,$33.8,17833020,$33,$33.94,$32.82
08/27/2020,$32.8,21306490,$32.4,$33.07,$32.27
08/26/2020,$32.3,20599780,$31.01,$32.71,$30.95
08/25/2020,$31.19,10056760,$31.04,$31.19,$30.6
08/24/2020,$31.04,17406240,$30.97,$31.3,$30.37
08/21/2020,$30.83,20217000,$31.39,$31.82,$30.7144
08/20/2020,$31.41,56663350,$29.13,$31.7,$28.48
08/19/2020,$29.42,14050330,$30.15,$30.349,$29.39
08/18/2020,$30.08,29398210,$29.5,$30.46,$29.41
08/17/2020,$29.48,18544680,$30.05,$30.12,$29.14
08/14/2020,$29.99,17631630,$30.4,$30.49,$29.815
08/13/2020,$30.46,21976780,$30.52,$31.33,$30.32
08/12/2020,$30.84,23415150,$31.46,$32.22,$30.69
08/11/2020,$31.21,31569920,$31.66,$32.21,$30.65
08/10/2020,$32.27,21347590,$33.04,$33.18,$31.51
08/07/2020,$32.9,39071190,$33.09,$33.7,$32.45
08/06/2020,$34.71,38601490,$33.27,$34.795,$33.21
08/05/2020,$33.2,17279010,$33.1,$33.32,$32.5
08/04/2020,$32.68,21958140,$31.17,$32.845,$31.17
08/03/2020,$31.19,17084300,$30.24,$31.295,$30.06
07/31/2020,$30.26,16361000,$30.4,$30.42,$29.785
07/30/2020,$30.24,13062910,$30.65,$30.68,$29.97
07/29/2020,$31.02,8215892,$30.92,$31.26,$30.77
07/28/2020,$30.81,12977150,$30.79,$31.24,$30.35
07/27/2020,$30.99,10182300,$31.21,$31.6,$30.75
07/24/2020,$31.18,16896060,$31.74,$31.8,$30.47
07/23/2020,$32.17,12749770,$32.33,$33.02,$31.983
07/22/2020,$32.66,12128380,$32.44,$32.88,$32.33
07/21/2020,$32.55,16743290,$34.16,$34.23,$32.53
07/20/2020,$33.66,16213610,$32.48,$33.925,$32.35
07/17/2020,$32.55,13667900,$32.58,$32.8162,$31.85
07/16/2020,$32.35,11090750,$32.05,$32.59,$31.55
07/15/2020,$32.81,20976520,$32.1,$32.97,$31.68
07/14/2020,$30.93,21781830,$31.35,$31.38,$30.48
07/13/2020,$31.72,19604820,$33.21,$33.6,$31.66
07/10/2020,$33.14,13586290,$33.14,$33.55,$32.65
07/09/2020,$33.15,25061820,$34.24,$34.46,$32.2599
07/08/2020,$33.93,24602370,$33.21,$33.97,$32.68
07/07/2020,$32.82,34874660,$32.46,$33.5598,$32.39
07/06/2020,$32.52,42392220,$33.1,$33.2,$31.76
07/02/2020,$30.68,14981140,$31.02,$31.57,$30.51
07/01/2020,$30.43,13611540,$30.96,$31.265,$30.1622
06/30/2020,$31.08,21282810,$30.83,$31.25,$30.13
06/29/2020,$29.63,20795400,$29.51,$29.75,$28.39
06/26/2020,$29.61,46482330,$30.44,$30.44,$29.2099
06/25/2020,$30.58,19142790,$30,$30.855,$29.56
06/24/2020,$30.46,29477230,$32.75,$32.93,$30.455
06/23/2020,$33.05,13622130,$32.88,$33.21,$32.5901
06/22/2020,$32.68,17790280,$32.43,$32.85,$31.43
06/19/2020,$32.3,29426290,$33.98,$34.02,$32.27
06/18/2020,$33.4,15495840,$33,$33.44,$32.8
06/17/2020,$33.29,14827740,$33.5,$33.595,$33.011
06/16/2020,$33.49,21377120,$34,$34.17,$32.43
06/15/2020,$32.67,21350290,$31.16,$32.68,$31.0201
06/12/2020,$32.24,27685170,$32.73,$32.74,$31.04
06/11/2020,$31.1,45298710,$32.63,$33.245,$30.8904
06/10/2020,$34.83,43473720,$36.69,$36.8,$34.265
06/09/2020,$36.59,15127270,$36.7,$37.33,$36.25
06/08/2020,$37.08,30099530,$37.87,$37.9,$36.09
06/05/2020,$37.21,30393430,$37.53,$38.7825,$36.92
06/04/2020,$36.43,17423580,$36.42,$37.3,$36.28
06/03/2020,$36.75,23051780,$36.2,$37.3678,$36.14
06/02/2020,$35.81,19328420,$36.16,$36.42,$35.26
06/01/2020,$35.82,21893810,$35.64,$36.39,$35.16
05/29/2020,$36.32,72422930,$34.18,$36.45,$34
05/28/2020,$34.15,21959580,$34.9,$35.1,$33.82
05/27/2020,$34.88,27514550,$34.42,$35,$33.1
05/26/2020,$34.56,23483220,$35.97,$36,$34.5
05/22/2020,$34.83,18675680,$34.15,$34.93,$33.57
05/21/2020,$34.26,24075310,$34.45,$35.01,$33.47
05/20/2020,$34.48,21386700,$34.12,$34.77,$33.82
05/19/2020,$33.4,20223570,$33.68,$34,$32.86
05/18/2020,$33.62,47561740,$33.7,$36,$32.99
05/15/2020,$32.47,25949970,$32.26,$32.89,$31.59
05/14/2020,$32.79,32912580,$32.53,$33.0399,$31.24
05/13/2020,$33.02,47279490,$32.3,$33.06,$30.83
05/12/2020,$32.4,89585970,$31.42,$34.45,$30.41
05/11/2020,$31.64,26439190,$31.98,$32.385,$31.41
05/08/2020,$32.79,69525790,$32.59,$33.3,$31.64
05/07/2020,$30.93,62229500,$29.6,$31.65,$29.58
05/06/2020,$27.82,31076450,$27.5,$28.06,$26.81
05/05/2020,$28.07,30725370,$28.25,$28.9088,$27.44
05/04/2020,$27.42,23428330,$27.56,$28.07,$26.58
05/01/2020,$28.39,19290190,$29.13,$29.72,$28.325
04/30/2020,$30.27,20095400,$30.5,$31.05,$29.75
04/29/2020,$31.37,28288120,$31,$32,$30.33
04/28/2020,$30.12,27383200,$31,$31.83,$29.36
04/27/2020,$30.08,31705830,$29.74,$30.49,$29.4112
04/24/2020,$29.49,20648860,$28.51,$29.59,$28.14
04/23/2020,$28.33,26992380,$28.75,$29.25,$28.2414
04/22/2020,$28.24,21222360,$27.97,$28.56,$27.51
04/21/2020,$27.19,20969120,$27.5,$28.15,$26.6
04/20/2020,$28.19,32224040,$27.07,$28.76,$26.9
04/17/2020,$28,34129830,$28.69,$28.79,$27.26
04/16/2020,$27.03,24088740,$27.21,$28.05,$26.46
04/15/2020,$27.41,18720880,$26.82,$27.79,$26.44
04/14/2020,$27.75,32625330,$28,$28.77,$27.013
04/13/2020,$27.99,24671570,$27.04,$28.08,$26.47
04/09/2020,$27.11,36189610,$27.88,$28.89,$26.46
04/08/2020,$26.94,36166870,$26,$27.8781,$25.79
04/07/2020,$25.74,36433760,$27.95,$28.11,$25.5
04/06/2020,$25.99,34692630,$24.13,$26.09,$23.93
04/03/2020,$22.82,40572020,$23.73,$23.79,$21.67
04/02/2020,$23.68,35838240,$25.01,$25.2,$23
04/01/2020,$25.42,38538380,$26.5,$26.767,$24.8101
03/31/2020,$27.92,43126370,$27.75,$28.25,$26.92
03/30/2020,$27.83,37725660,$26.33,$28.39,$25.31
03/27/2020,$27.28,40292210,$25.82,$28.03,$25.07
03/26/2020,$28.12,41370840,$26.6,$28.44,$25.78
03/25/2020,$26.19,52473950,$26.18,$28.45,$25.3104
03/24/2020,$26.39,58505020,$24.41,$26.84,$23.59
03/23/2020,$22.4,47787090,$21.07,$22.73,$19.73
03/20/2020,$21.33,76529680,$22.53,$23.89,$20.61
03/19/2020,$20.49,83988720,$15.96,$21.26,$15.7
03/18/2020,$14.82,78286210,$17.76,$17.8,$13.71
03/17/2020,$18.91,60003890,$20.18,$20.31,$18.01
03/16/2020,$20.29,56913950,$20.15,$21.49,$19.1
03/13/2020,$22.6,53844420,$24.01,$24.81,$21.13
03/12/2020,$22.61,54041980,$23.26,$24.69,$22.11
03/11/2020,$26.24,43212770,$27.91,$28.14,$25.61
03/10/2020,$28.97,36308320,$29.47,$29.86,$27
03/09/2020,$28.17,37439160,$28.5,$30.32,$28.15
03/06/2020,$31.68,34808730,$31.23,$32.41,$30.45
03/05/2020,$32.21,32764550,$33.47,$33.57,$31.97
03/04/2020,$34.53,44738640,$33.93,$35.34,$32.28
03/03/2020,$33.04,35182370,$34.02,$34.18,$31.9
03/02/2020,$32.85,46662020,$34.05,$34.08,$31.74
02/28/2020,$33.87,52100200,$31.81,$34.29,$31
02/27/2020,$32.45,66557250,$32.03,$34.16,$30.67
02/26/2020,$34.45,44108920,$35.53,$36.165,$33.89
02/25/2020,$35.89,49281560,$38.9,$39.15,$35.5
02/24/2020,$38.31,37123160,$38.21,$39.14,$37.75
02/21/2020,$40.72,20600620,$40.89,$40.89,$40.05
02/20/2020,$40.92,25446390,$41,$41.19,$39.85
02/19/2020,$41.05,23287330,$40.42,$41.23,$40.115
02/18/2020,$40.18,22168470,$39.49,$40.27,$39.45
02/14/2020,$39.66,32014220,$40.02,$40.31,$38.7
02/13/2020,$40.09,23850950,$40.93,$41.55,$40
02/12/2020,$41.25,26444890,$41.5,$41.86,$41.065
02/11/2020,$41.27,33895960,$40.25,$41.465,$40.05
02/10/2020,$40.01,60840790,$40.65,$41.34,$39.96
02/07/2020,$40.63,112325800,$39.98,$41,$38.86
02/06/2020,$37.09,52699340,$37.3,$37.39,$36.73
02/05/2020,$36.81,38413310,$38.89,$38.97,$36.735
02/04/2020,$38.53,32425930,$37.87,$38.99,$37.26
02/03/2020,$37.59,23537340,$36.75,$37.64,$36.53
01/31/2020,$36.29,21553670,$37,$37.04,$35.69
01/30/2020,$36.68,22846950,$36.82,$37.1319,$35.95
